3 0 3	..DII...DCLLAABC.OJ.B.POJFFFPOJ..... 
3 1 2	..DII...DCLLAABC..J.B.POJFFFPOJ....O O99 
4 1 3	..D.II..DCLLAABC.OJ.B.POJFFFPOJ..... I99 
4 2 2	..DII...D.LLAABC..J.BCPOJFFFPOJ....O C99 O99 
4 2 2	..DII...DCLLAABC..J.B..OJFFFPOJ...PO O99 P99 
4 1 3	..DII...D.LLAABC.OJ.BCPOJFFFPOJ..... C99 
4 2 2	..D.II..DCLLAABC..J.B.POJFFFPOJ....O I99 O99 
4 1 3	..DII...DCLLAABC.OJ.B..OJFFFPOJ...P. P99 
4 2 2	..DCII..DCLLAAB..OJ.B.POJFFFPOJ..... I99 C99 
4 3 1	..DCII..DCLLAAB...J.B.POJFFFPOJ....O I99 C99 O99 
5 2 3	..DII...DCLLAABCP.J.B.POJFFF.OJ....O O99 P99 
5 3 2	..D.II..DCLLAABC..J.B..OJFFFPOJ...PO I99 O99 P99 
5 2 3	..DII...D.LLAABC.OJ.BC.OJFFFPOJ...P. C99 P99 
5 2 3	..DII...DLL.AABC.OJ.BCPOJFFFPOJ..... C99 L99 
5 1 4	..DII...DCLLAABCPOJ.B.POJFFF.OJ..... P99 
5 3 2	..DII...D.LLAABC..J.BC.OJFFFPOJ...PO C99 O99 P99 
5 3 2	..DII...DLL.AABC..J.BCPOJFFFPOJ....O C99 L99 O99 
5 3 2	..D.II..D.LLAABC..J.BCPOJFFFPOJ....O I99 C99 O99 
5 2 3	..D.II..DCLLAABC.OJ.B..OJFFFPOJ...P. I99 P99 
5 2 3	..D.II..D.LLAABC.OJ.BCPOJFFFPOJ..... I99 C99 
5 3 2	..DCII..DCLLAAB..OJ.B..OJFFFPOJ...P. I99 C99 P99 
5 4 1	..DCII..DCLLAAB...J.B..OJFFFPOJ...PO I99 C99 O99 P99 
6 3 3	..DCII..DCLLAAB.POJ.B.POJFFF.OJ..... I99 C99 P99 
6 3 3	..DII...DCLLAABCP.J.B.POJ.FFFOJ....O O99 P99 F99 
6 2 4	..DII...DCLLAABCPOJ.B.POJ.FFFOJ..... P99 F99 
6 3 3	..DIIO..DLLOAABC.OJ.BCP.JFFFP.J..... C99 L99 O98 
6 3 3	..DII...DLLOAABC.OJ.BCPOJFFFP.J..... C99 L99 O99 
6 4 2	..DCII..DCLLAAB.P.J.B.POJFFF.OJ....O I99 C99 O99 P99 
6 4 2	..D.II..D.LLAABC..J.BC.OJFFFPOJ...PO I99 C99 O99 P99 
6 3 3	..DII...DLL.AABC.OJ.BC.OJFFFPOJ...P. C99 L99 P99 
6 3 3	..DII...D.LLAABCP.J.BCPOJFFF.OJ....O C99 O99 P99 
6 4 2	..DII...DLL.AABC..J.BC.OJFFFPOJ...PO C99 L99 O99 P99 
6 3 3	..D.II..DCLLAABCP.J.B.POJFFF.OJ....O I99 O99 P99 
6 2 4	..D.II..DCLLAABCPOJ.B.POJFFF.OJ..... I99 P99 
6 3 3	..D.II..DLL.AABC.OJ.BCPOJFFFPOJ..... I99 C99 L99 
6 4 2	..D.II..DLL.AABC..J.BCPOJFFFPOJ....O I99 C99 L99 O99 
6 3 3	..D.II..D.LLAABC.OJ.BC.OJFFFPOJ...P. I99 C99 P99 
6 2 4	..DII...D.LLAABCPOJ.BCPOJFFF.OJ..... C99 P99 
7 4 3	..DCII..DCLLAAB.POJ.B.POJ.FFFOJ..... I99 C99 P99 F99 
7 3 4	..DII...D.LLAABCPOJ.BCPOJ.FFFOJ..... C99 P99 F99 
7 4 3	..D.II..DCLLAABCP.J.B.POJ.FFFOJ....O I99 O99 P99 F99 
7 4 3	..DII...D.LLAABCP.J.BCPOJ.FFFOJ....O C99 O99 P99 F99 
7 3 4	..DII...DLL.AABCPOJ.BCPOJFFF.OJ..... C99 L99 P99 
7 4 3	..DII...DLLOAABC.OJ.BC.OJFFFP.J...P. C99 L99 O99 P99 
7 5 2	..DCII..DCLLAAB.P.J.B.POJ.FFFOJ....O I99 C99 O99 P99 F99 
7 3 4	..D.II..D.LLAABCPOJ.BCPOJFFF.OJ..... I99 C99 P99 
7 4 3	..D.II..DLLOAABC.OJ.BCPOJFFFP.J..... I99 C99 L99 O99 
7 3 4	..D.II..DCLLAABCPOJ.B.POJ.FFFOJ..... I99 P99 F99 
7 4 3	..D.II..DLL.AABC.OJ.BC.OJFFFPOJ...P. I99 C99 L99 P99 
7 4 3	..DIIO..DLLOAABC.OJ.BC..JFFFP.J...P. C99 L99 O98 P99 
7 5 2	..D.II..DLL.AABC..J.BC.OJFFFPOJ...PO I99 C99 L99 O99 P99 
7 4 3	..DII...DLL.AABCP.J.BCPOJFFF.OJ....O C99 L99 O99 P99 
7 4 3	..D.II..D.LLAABCP.J.BCPOJFFF.OJ....O I99 C99 O99 P99 
8 4 4	..DIIO..DLLOAABCPOJ.BCP.JFFF..J..... C99 L99 O98 P99 
8 4 4	..D.II..DLL.AABCPOJ.BCPOJFFF.OJ..... I99 C99 L99 P99 
8 4 4	..DII...DLL.AABCPOJ.BCPOJ.FFFOJ..... C99 L99 P99 F99 
8 5 3	..DII...DLL.AABCP.J.BCPOJ.FFFOJ....O C99 L99 O99 P99 F99 
8 4 4	..DII...DLLOAABCPOJ.BCPOJFFF..J..... C99 L99 O99 P99 
8 5 3	..D.II..DLL.AABCP.J.BCPOJFFF.OJ....O I99 C99 L99 O99 P99 
8 4 4	..D.II..D.LLAABCPOJ.BCPOJ.FFFOJ..... I99 C99 P99 F99 
8 5 3	..D.II..DLLOAABC.OJ.BC.OJFFFP.J...P. I99 C99 L99 O99 P99 
8 5 3	..D.II..D.LLAABCP.J.BCPOJ.FFFOJ....O I99 C99 O99 P99 F99 
9 5 4	..DIIO..DLLOAABCPOJ.BCP.J..FFFJ..... C99 L99 O98 P99 F98 
9 5 4	..DII...DLLOAABCPOJ.BCPOJ.FFF.J..... C99 L99 O99 P99 F99 
9 5 4	..DII...DLLOAABCPOJ.BCPOJ..FFFJ..... C99 L99 O99 P99 F98 
9 5 4	..D.II..D.LLAABCPOJ.BCPOJ.FFFOJ..... I99 C97 P99 F99 
9 6 3	..DIIO..DLLOAA.CPOJ..CP.J.BFFFJ.B... C99 L99 B98 O98 P99 F98 
9 5 4	..D.II..DLL.AABCPOJ.BCPOJ.FFFOJ..... I99 C99 L99 P99 F99 
9 6 3	..DII...DLLOAA.CPOJ..CPOJ.BFFFJ.B... C99 L99 B98 O99 P99 F98 
9 6 3	..DII...DLLOAA.CPOJ.BCPOJ.BFFFJ..... C99 L99 B99 O99 P99 F98 
9 5 4	..DIIO..DLLOAABCPOJ.BCP.J.FFF.J..... C99 L99 O98 P99 F99 
9 6 3	..D.II..DLL.AABCP.J.BCPOJ.FFFOJ....O I99 C99 L99 O99 P99 F99 
9 5 4	..D.II..DLLOAABCPOJ.BCPOJFFF..J..... I99 C99 L99 O99 P99 
9 6 3	..DIIO..DLLOAA.CPOJ.BCP.J.BFFFJ..... C99 L99 B99 O98 P99 F98 
10 6 4	..D.II..DLLOAABCPOJ.BCPOJ.FFF.J..... I99 C99 L99 O99 P99 F99 
10 7 3	..DII...DLLO.AACPOJ..CPOJ.BFFFJ.B... C99 L99 A99 B98 O99 P99 F98 
10 7 3	..D.II..DLLOAA.CPOJ..CPOJ.BFFFJ.B... I99 C99 L99 B98 O99 P99 F98 
10 7 3	..DIIO..DLLO.AACPOJ.BCP.J.BFFFJ..... C99 L99 A99 B99 O98 P99 F98 
10 7 3	..DIIO..DLLO.AACPOJ..CP.J.BFFFJ.B... C99 L99 A99 B98 O98 P99 F98 
10 6 4	..D.II..DLLOAABCPOJ.BCPOJ..FFFJ..... I99 C99 L99 O99 P99 F98 
10 7 3	..D.II..DLLOAA.CPOJ.BCPOJ.BFFFJ..... I99 C99 L99 B99 O99 P99 F98 
10 7 3	..DII...DLLO.AACPOJ.BCPOJ.BFFFJ..... C99 L99 A99 B99 O99 P99 F98 
11 7 4	...IIO..DLLOAADCPOJ.BCP.J.BFFFJ..... D99 O98 L99 C99 P99 B99 F98 
11 8 3	..DII.J.DLLOJAACPOJ..CPO..BFFF..B... C99 L99 A99 B98 O99 J98 P99 F98 
11 8 3	..DII...DLLOJAACPOJ..CPOJ.BFFF..B... C99 L99 A99 B98 O99 J99 P99 F98 
11 8 3	..D.II..DLLO.AACPOJ.BCPOJ.BFFFJ..... I99 C99 L99 A99 B99 O99 P99 F98 
11 8 3	J.DII.J.DLLOJAACPO..BCPO..BFFF...... C99 L99 A99 B99 O99 J97 P99 F98 
11 8 3	..D.II..DLLO.AACPOJ..CPOJ.BFFFJ.B... I99 C99 L99 A99 B98 O99 P99 F98 
11 8 3	J.DII.J.DLLOJAACPO...CPO..BFFF..B... C99 L99 A99 B98 O99 J97 P99 F98 
11 7 4	...II....LLOAADCPOJ.DCPOJ.BFFFJ.B... D98 L99 O99 C99 P99 B98 F98 
11 7 4	...II...DLLOAADCPOJ..CPOJ.BFFFJ.B... D99 L99 O99 C99 P99 B98 F98 
11 7 4	...IIO...LLOAADCPOJ.DCP.J.BFFFJ.B... D98 O98 L99 C99 P99 B98 F98 
11 8 3	..DIIOJ.DLLOJAACPOJ..CP...BFFF..B... C99 L99 A99 B98 O98 J98 P99 F98 
11 8 3	..DII.J.DLLOJAACPOJ.BCPO..BFFF...... C99 L99 A99 B99 O99 J98 P99 F98 
11 7 4	...IIO..DLLOAADCPOJ..CP.J.BFFFJ.B... D99 O98 L99 C99 P99 B98 F98 
11 8 3	..DII...DLLOJAACPOJ.BCPOJ.BFFF...... C99 L99 A99 B99 O99 J99 P99 F98 
11 7 4	...II...DLLOAADCPOJ.BCPOJ.BFFFJ..... D99 L99 O99 C99 P99 B99 F98 
11 8 3	..DIIO..DLLOJAACPOJ..CP.J.BFFF..B... C99 L99 A99 B98 O98 J99 P99 F98 
11 8 3	J.DIIOJ.DLLOJAACPO...CP...BFFF..B... C99 L99 A99 B98 O98 J97 P99 F98 
11 8 3	..DIIOJ.DLLOJAACPOJ.BCP...BFFF...... C99 L99 A99 B99 O98 J98 P99 F98 
11 8 3	..DIIO..DLLOJAACPOJ.BCP.J.BFFF...... C99 L99 A99 B99 O98 J99 P99 F98 
11 8 3	J.DIIOJ.DLLOJAACPO..BCP...BFFF...... C99 L99 A99 B99 O98 J97 P99 F98 
12 8 4	....II...LLOAADCPOJ.DCPOJ.BFFFJ.B... D98 I99 L99 O99 C99 P99 B98 F98 
12 9 3	..D.IIJ.DLLOJAACPOJ..CPO..BFFF..B... I99 C99 L99 A99 B98 O99 J98 P99 F98 
12 9 3	J.D.IIJ.DLLOJAACPO...CPO..BFFF..B... I99 C99 L99 A99 B98 O99 J97 P99 F98 
12 8 4	.II.....DLLOAADCPOJ..CPOJ.BFFFJ.B... I98 D99 L99 O99 C99 P99 B98 F98 
12 8 4	II...O...LLOAADCPOJ.DCP.J.BFFFJ.B... I97 O98 L99 D98 C99 P99 B98 F98 
12 8 4	.II..O...LLOAADCPOJ.DCP.J.BFFFJ.B... I98 O98 L99 D98 C99 P99 B98 F98 
12 8 4	..II....DLLOAADCPOJ..CPOJ.BFFFJ.B... I99 D99 L99 O99 C99 P99 B98 F98 
12 8 4	II...O..DLLOAADCPOJ.BCP.J.BFFFJ..... I97 O98 D99 L99 C99 P99 B99 F98 
12 8 4	...II..LL..OAADCPOJ.DCPOJ.BFFFJ.B... D98 L97 O99 C99 P99 B98 F98 
12 8 4	..II.O...LLOAADCPOJ.DCP.J.BFFFJ.B... I99 O98 L99 D98 C99 P99 B98 F98 
12 9 3	IID..O..DLLOAA.CPOJ..CP.J.BFFFJ.B... I97 O98 L99 D96 C99 P99 B98 F98 
12 8 4	...II...LL.OAADCPOJ.DCPOJ.BFFFJ.B... D98 L98 O99 C99 P99 B98 F98 
12 9 3	IID..O..DLLOAA.CPOJ.BCP.J.BFFFJ..... I97 O98 D98 L99 C99 P99 B99 F98 
12 9 3	..D.II..DLLOJAACPOJ..CPOJ.BFFF..B... I99 C99 L99 A99 B98 O99 J99 P99 F98 
12 9 3	..D.IIJ.DLLOJAACPOJ.BCPO..BFFF...... I99 C99 L99 A99 B99 O99 J98 P99 F98 
12 8 4	II.......LLOAADCPOJ.DCPOJ.BFFFJ.B... I97 L99 O99 D98 C99 P99 B98 F98 
12 9 3	..D.II..DLLOJAACPOJ.BCPOJ.BFFF...... I99 C99 L99 A99 B99 O99 J99 P99 F98 
12 8 4	..II.....LLOAADCPOJ.DCPOJ.BFFFJ.B... I99 L99 O99 D98 C99 P99 B98 F98 
12 8 4	.II..O..DLLOAADCPOJ.BCP.J.BFFFJ..... I98 O98 D99 L99 C99 P99 B99 F98 
12 9 3	IID.....DLLOAA.CPOJ..CPOJ.BFFFJ.B... I97 L99 O99 D96 C99 P99 B98 F98 
12 8 4	..II.O..DLLOAADCPOJ.BCP.J.BFFFJ..... I99 O98 D99 L99 C99 P99 B99 F98 
12 8 4	...II.LL...OAADCPOJ.DCPOJ.BFFFJ.B... D98 L96 O99 C99 P99 B98 F98 
12 8 4	...IIO.LL..OAADCPOJ.DCP.J.BFFFJ.B... D98 O98 L97 C99 P99 B98 F98 
12 8 4	.II.....DLLOAADCPOJ.BCPOJ.BFFFJ..... I98 D99 L99 O99 C99 P99 B99 F98 
12 9 3	J.D.IIJ.DLLOJAACPO..BCPO..BFFF...... I99 C99 L99 A99 B99 O99 J97 P99 F98 
12 9 3	..DII.LLD..OAA.CPOJ..CPOJ.BFFFJ.B... D96 L96 O99 C99 P99 B98 F98 
12 8 4	II......DLLOAADCPOJ..CPOJ.BFFFJ.B... I97 D99 L99 O99 C99 P99 B98 F98 
12 8 4	...IIOLL...OAADCPOJ.DCP.J.BFFFJ.B... D98 O98 L96 C99 P99 B98 F98 
12 8 4	...IIO..LL.OAADCPOJ.DCP.J.BFFFJ.B... D98 O98 L98 C99 P99 B98 F98 
12 9 3	..DIIOLLD..OAA.CPOJ..CP.J.BFFFJ.B... D96 O98 L96 C99 P99 B98 F98 
12 8 4	II...O..DLLOAADCPOJ..CP.J.BFFFJ.B... I97 O98 D99 L99 C99 P99 B98 F98 
12 8 4	..II....DLLOAADCPOJ.BCPOJ.BFFFJ..... I99 D99 L99 O99 C99 P99 B99 F98 
12 8 4	.II..O..DLLOAADCPOJ..CP.J.BFFFJ.B... I98 O98 D99 L99 C99 P99 B98 F98 
12 8 4	..II.O..DLLOAADCPOJ..CP.J.BFFFJ.B... I99 O98 D99 L99 C99 P99 B98 F98 
12 8 4	II......DLLOAADCPOJ.BCPOJ.BFFFJ..... I97 D99 L99 O99 C99 P99 B99 F98 
12 9 3	IID.....DLLOAA.CPOJ.BCPOJ.BFFFJ..... I97 D98 L99 O99 C99 P99 B99 F98 
13 9 4	....II..LL.OAADCPOJ.DCPOJ.BFFFJ.B... D98 I99 L98 O99 C99 P99 B98 F98 
13 9 4	..II..LL...OAADCPOJ.DCPOJ.BFFFJ.B... I99 L96 O99 D98 C99 P99 B98 F98 
13 9 4	...IIOLL..POAADCPOJ.DC..J.BFFFJ.B... D98 O98 L96 C99 P98 B98 F98 
13 10 3	..DIIOLLD..O.AACPOJ..CP.J.BFFFJ.B... D96 O98 L96 A99 C99 P99 B98 F98 
13 9 4	...IIOLL.C.OAADCPOJ.D.P.J.BFFFJ.B... D98 O98 L96 C98 P99 B98 F98 
13 10 3	IID.....DLLO.AACPOJ.BCPOJ.BFFFJ..... I97 D98 L99 O99 A99 C99 P99 B99 F98 
13 9 4	....II.LL..OAADCPOJ.DCPOJ.BFFFJ.B... D98 I99 L97 O99 C99 P99 B98 F98 
13 10 3	..IIP.LL..POAADC.OJ.DC.OJ.BFFFJ.B... I99 L96 O99 D98 C99 P97 B98 F98 
13 9 4	.II..OLL...OAADCPOJ.DCP.J.BFFFJ.B... I98 O98 L96 D98 C99 P99 B98 F98 
13 9 4	...II..LL.POAADCPOJ.DC.OJ.BFFFJ.B... D98 L97 O99 C99 P98 B98 F98 
13 9 4	.II..O.LL..OAADCPOJ.DCP.J.BFFFJ.B... I98 O98 L97 D98 C99 P99 B98 F98 
13 9 4	..II.OLL...OAADCPOJ.DCP.J.BFFFJ.B... I99 O98 L96 D98 C99 P99 B98 F98 
13 9 4	...II...LLPOAADCPOJ.DC.OJ.BFFFJ.B... D98 L98 O99 C99 P98 B98 F98 
13 10 3	.II.POLL..POAADC.OJ.DC..J.BFFFJ.B... I98 O98 L96 D98 C99 P97 B98 F98 
13 10 3	IID..O..DLLO.AACPOJ.BCP.J.BFFFJ..... I97 O98 D98 L99 A99 C99 P99 B99 F98 
13 9 4	.II.....LL.OAADCPOJ.DCPOJ.BFFFJ.B... I98 L98 O99 D98 C99 P99 B98 F98 
13 10 3	.II.PO.LL.POAADC.OJ.DC..J.BFFFJ.B... I98 O98 L97 D98 C99 P97 B98 F98 
13 10 3	..DII.LLD.POAA.CPOJ..C.OJ.BFFFJ.B... D96 L96 O99 C99 P98 B98 F98 
13 10 3	..IIPOLL..POAADC.OJ.DC..J.BFFFJ.B... I99 O98 L96 D98 C99 P97 B98 F98 
13 11 2	.IICPOLL.CPOAAD..OJ.D...J.BFFFJ.B... I98 O98 L96 D98 C97 P97 B98 F98 
13 10 3	IID.....DLLOAA.CPOJ.BCPOJ.BFFFJ..... I97 O97 D98 L99 C99 P99 B99 F98 
13 9 4	II....LL...OAADCPOJ.DCPOJ.BFFFJ.B... I97 L96 O99 D98 C99 P99 B98 F98 
13 11 2	.IICPO.LLCPOAAD..OJ.D...J.BFFFJ.B... I98 O98 L97 D98 C97 P97 B98 F98 
13 10 3	..DII.LLD..O.AACPOJ..CPOJ.BFFFJ.B... D96 L96 O99 A99 C99 P99 B98 F98 
13 10 3	IID...LLD..OAA.CPOJ..CPOJ.BFFFJ.B... I97 L96 O99 D96 C99 P99 B98 F98 
13 10 3	II.C..LL.C.OAAD.POJ.D.POJ.BFFFJ.B... I97 L96 O99 D98 C97 P99 B98 F98 
13 10 3	II..P.LL..POAADC.OJ.DC.OJ.BFFFJ.B... I97 L96 O99 D98 C99 P97 B98 F98 
13 11 2	IIDC..LLDC.OAA..POJ...POJ.BFFFJ.B... I97 L96 O99 D96 C97 P99 B98 F98 
13 11 2	IID.P.LLD.POAA.C.OJ..C.OJ.BFFFJ.B... I97 L96 O99 D96 C99 P97 B98 F98 
13 11 2	II.CP.LL.CPOAAD..OJ.D..OJ.BFFFJ.B... I97 L96 O99 D98 C97 P97 B98 F98 
13 9 4	II......LL.OAADCPOJ.DCPOJ.BFFFJ.B... I97 L98 O99 D98 C99 P99 B98 F98 
13 10 3	..D.IILLD..OAA.CPOJ..CPOJ.BFFFJ.B... D96 I99 L96 O99 C99 P99 B98 F98 
13 9 4	.II......LLOAADCPOJ.DCPOJ.BFFFJ.B... I98 L99 O99 D98 C99 P99 B98 F98 
13 9 4	...II.LLD..OAADCPOJ..CPOJ.BFFFJ.B... D97 L96 O99 C99 P99 B98 F98 
13 10 3	.II.P...LLPOAADC.OJ.DC.OJ.BFFFJ.B... I98 L98 O99 D98 C99 P97 B98 F98 
13 10 3	IID.....DLLO.AACPOJ..CPOJ.BFFFJ.B... I97 L99 O99 A99 D96 C99 P99 B98 F98 
13 9 4	.II...LL...OAADCPOJ.DCPOJ.BFFFJ.B... I98 L96 O99 D98 C99 P99 B98 F98 
13 9 4	...IIO.LL.POAADCPOJ.DC..J.BFFFJ.B... D98 O98 L97 C99 P98 B98 F98 
13 9 4	...II.LL.C.OAADCPOJ.D.POJ.BFFFJ.B... D98 L96 O99 C98 P99 B98 F98 
13 10 3	IID.....DLLOAA.CPOJ..CPOJ.BFFFJ.B... I97 O97 L99 D96 C99 P99 B98 F98 
13 9 4	..II.O.LL..OAADCPOJ.DCP.J.BFFFJ.B... I99 O98 L97 D98 C99 P99 B98 F98 
13 10 3	.IIC.O.LLC.OAAD.POJ.D.P.J.BFFFJ.B... I98 O98 L97 D98 C97 P99 B98 F98 
13 9 4	...II..LLC.OAADCPOJ.D.POJ.BFFFJ.B... D98 L97 O99 C98 P99 B98 F98 
13 10 3	..DII.LLD..OAA.CPOJ.BCPOJ.BFFFJ..... D96 L96 O99 C99 P99 B97 F98 
13 9 4	...IIO..LLPOAADCPOJ.DC..J.BFFFJ.B... D98 O98 L98 C99 P98 B98 F98 
13 10 3	..DIIOLLD.POAA.CPOJ..C..J.BFFFJ.B... D96 O98 L96 C99 P98 B98 F98 
13 10 3	.IIC.OLL.C.OAAD.POJ.D.P.J.BFFFJ.B... I98 O98 L96 D98 C97 P99 B98 F98 
13 9 4	II.....LL..OAADCPOJ.DCPOJ.BFFFJ.B... I97 L97 O99 D98 C99 P99 B98 F98 
13 10 3	..DII.LLDC.OAA.CPOJ...POJ.BFFFJ.B... D96 L96 O99 C98 P99 B98 F98 
13 9 4	..II...LL..OAADCPOJ.DCPOJ.BFFFJ.B... I99 L97 O99 D98 C99 P99 B98 F98 
13 10 3	II.C...LLC.OAAD.POJ.D.POJ.BFFFJ.B... I97 L97 O99 D98 C97 P99 B98 F98 
13 10 3	.IIC..LL.C.OAAD.POJ.D.POJ.BFFFJ.B... I98 L96 O99 D98 C97 P99 B98 F98 
13 9 4	.II..O..LL.OAADCPOJ.DCP.J.BFFFJ.B... I98 O98 L98 D98 C99 P99 B98 F98 
13 9 4	II...OLL...OAADCPOJ.DCP.J.BFFFJ.B... I97 O98 L96 D98 C99 P99 B98 F98 
13 11 2	..DCIILLDC.OAA..POJ...POJ.BFFFJ.B... D96 I99 L96 O99 C97 P99 B98 F98 
13 10 3	IID..OLLD..OAA.CPOJ..CP.J.BFFFJ.B... I97 O98 L96 D96 C99 P99 B98 F98 
13 10 3	II..P...LLPOAADC.OJ.DC.OJ.BFFFJ.B... I97 L98 O99 D98 C99 P97 B98 F98 
13 11 2	IIDC.OLLDC.OAA..POJ...P.J.BFFFJ.B... I97 O98 L96 D96 C97 P99 B98 F98 
13 11 2	IID.POLLD.POAA.C.OJ..C..J.BFFFJ.B... I97 O98 L96 D96 C99 P97 B98 F98 
13 9 4	....II..DLLOAADCPOJ.BCPOJ.BFFFJ..... I97 D99 L99 O99 C99 P99 B99 F98 
13 12 1	IIDCPOLLDCPOAA...OJ.....J.BFFFJ.B... I97 O98 L96 D96 C97 P97 B98 F98 
13 9 4	II...O.LL..OAADCPOJ.DCP.J.BFFFJ.B... I97 O98 L97 D98 C99 P99 B98 F98 
13 9 4	II...O..LL.OAADCPOJ.DCP.J.BFFFJ.B... I97 O98 L98 D98 C99 P99 B98 F98 
13 10 3	II..PO.LL.POAADC.OJ.DC..J.BFFFJ.B... I97 O98 L97 D98 C99 P97 B98 F98 
13 11 2	II.CPO.LLCPOAAD..OJ.D...J.BFFFJ.B... I97 O98 L97 D98 C97 P97 B98 F98 
14 11 3	..IIP.LL.CPOAADC.OJ.D..OJ.BFFFJ.B... I99 L96 O99 D98 C98 P97 B98 F98 
14 11 3	II.C..LL.CPOAAD.POJ.D..OJ.BFFFJ.B... I97 L96 O99 D98 C97 P98 B98 F98 
14 11 3	II..P..LL.POAADC.OJ.DC.OJ.BFFFJ.B... I97 L95 O99 D98 C99 P97 B98 F98 
14 11 3	II..P.LL.CPOAADC.OJ.D..OJ.BFFFJ.B... I97 L96 O99 D98 C98 P97 B98 F98 
14 12 2	II.CP..LLCPOAAD..OJ.D..OJ.BFFFJ.B... I97 L95 O99 D98 C97 P97 B98 F98 
14 11 3	II..PO.LLCPOAADC.OJ.D...J.BFFFJ.B... I97 O98 L97 D98 C98 P97 B98 F98 
14 11 3	..D.IILLD..OAA.CPOJ.BCPOJ.BFFFJ..... D96 I99 L96 O99 C99 P99 B97 F98 
14 11 3	..DIIOLLDC.O.AACPOJ...P.J.BFFFJ.B... D96 O98 L96 A99 C98 P99 B98 F98 
14 11 3	II.C..LLDC.OAAD.POJ...POJ.BFFFJ.B... I97 L96 O99 D97 C97 P99 B98 F98 
14 11 3	II.C.OLL.C.OAAD.POJ.D.P.J.BFFFJ.B... I97 L96 O98 D98 C97 P99 B98 F98 
14 11 3	..DIIOLLD.PO.AACPOJ..C..J.BFFFJ.B... D96 O98 L96 A99 C99 P98 B98 F98 
14 10 4	...IIOLL.CPOAADCPOJ.D...J.BFFFJ.B... D98 O98 L96 C98 P98 B98 F98 
14 11 3	II.C...LLC.OAAD.POJ.D.POJ.BFFFJ.B... I97 L95 O99 D98 C97 P99 B98 F98 
14 11 3	.IIC..LL.C.OAAD.POJ.D.POJ.BFFFJ.B... I96 L96 O99 D98 C97 P99 B98 F98 
14 10 4	...IIOLLD.POAADCPOJ..C..J.BFFFJ.B... D97 O98 L96 C99 P98 B98 F98 
14 11 3	IID...LLD..OAA.CPOJ.BCPOJ.BFFFJ..... I97 L96 O99 D96 C99 P99 B97 F98 
14 10 4	II...OLL..POAADCPOJ.DC..J.BFFFJ.B... I97 O98 L96 P98 D98 C99 B98 F98 
14 10 4	.II..OLL..POAADCPOJ.DC..J.BFFFJ.B... I98 O98 L96 P98 D98 C99 B98 F98 
14 11 3	IID...LLD.POAA.CPOJ..C.OJ.BFFFJ.B... I97 L96 O99 D96 C99 P98 B98 F98 
14 10 4	....II.LL.POAADCPOJ.DC.OJ.BFFFJ.B... D98 I99 L97 O99 C99 P98 B98 F98 
14 10 4	..II.OLL..POAADCPOJ.DC..J.BFFFJ.B... I99 O98 L96 P98 D98 C99 B98 F98 
14 11 3	IID...LLDC.OAA.CPOJ...POJ.BFFFJ.B... I97 L96 O99 D96 C98 P99 B98 F98 
14 11 3	IID...LLD..O.AACPOJ..CPOJ.BFFFJ.B... I97 L96 O99 A99 D96 C99 P99 B98 F98 
14 11 3	II.C.OLL.CPOAAD.POJ.D...J.BFFFJ.B... I97 O98 L96 P98 D98 C97 B98 F98 
14 11 3	.IIC.OLL.CPOAAD.POJ.D...J.BFFFJ.B... I98 O98 L96 P98 D98 C97 B98 F98 
