3 0 3	.CCBBBHH.FL..AAFLY...FLYG.DUU.G.DEE. C99 
7 4 3	.CCBBBHHDFL.AADFL.G..FLYG..UUY...EE. A99 Y99 G99 D97 
7 4 3	.CCBBB.HHFL.AA.FLY..DFLYG.DUU.G.EE.. H99 A99 D99 E99 
7 3 4	.CCBBBHH.FL.AADFLY..DFLYG..UU.G...EE A99 D98 E99 
7 4 3	.CCBBBHH.FL.AADFL.G.DFLYG..UUY...EE. A99 Y99 G99 D98 
7 5 2	CCBBB.HH.FL..AAFL...DFLYG.DUUYGEE... C99 B99 D99 Y99 E98 
7 5 2	CC.BBBHH.FL..AAFL.G.DFLYG.DUUY..EE.. C99 Y99 G99 D99 E99 
7 4 3	.CCBBBHH.FL.AA.FLYG.DFLYG.DUU...EE.. A99 G99 D99 E99 
7 4 3	.CCBBBHH.FLYAA.FLYG..FL.G.DUU...DEE. A99 Y97 G99 
7 4 3	.CCBBB.HHFL..AAFLYG.DFLYG.DUU...EE.. H99 G99 D99 E99 
7 4 3	CC.BBBHH.FL.GAAFLYG.DFLY..DUU...EE.. C99 G98 D99 E99 
7 3 4	.CCBBBHHDFLYAADFLY...FL.G..UU.G..EE. A99 Y99 D97 
7 4 3	CC.BBBHH.FLYGAAFLYG.DFL...DUU....EE. C99 G98 Y99 D99 
7 5 2	.CCBBBGHHFL.GAAFL...DFL...DUUY..EE.Y H99 Y98 G97 D99 E99 
7 4 3	CCBBB.HH.FL.GAAFLYG.DFLY..DUU....EE. C99 B99 G98 D99 
7 4 3	.CCBBBHH.FL.AA.FLYG..FLYG.D.UU..D.EE A99 G99 U99 E99 
7 5 2	GCCBBBGHHFL..AAFL...DFL...DUUY..EE.Y H99 Y98 G96 D99 E99 
7 4 3	.CCBBBHH..L..AAFLYG..FLYG.DFUU..D.EE F99 G99 U99 E99 
7 3 4	.CCBBB.HHFL.AADFLY..DFLYG..UU.G..EE. H99 A99 D98 
7 5 2	.CCBBB.HHFL.GAAFL.G.DFLY..DUUY.EE... H99 Y99 G98 D99 E98 
7 5 2	CC.BBB.HHFL..AAFL...DFLYG.DUUYGEE... C99 H99 D99 Y99 E98 
7 4 3	CC.BBBHH..LY.AAFLY...FL.G.DFUUG.DEE. C99 F99 Y99 U99 
7 5 2	.CCBBBHH..L.GAA.LYG.DFLY..DFUUEE.F.. F98 G98 D99 U99 E97 
7 4 3	.CCBBBHH.FL.AADFL...DFLYGUU..YG..EE. A99 Y99 D98 U98 
7 4 3	.CCBBBHH.FL.AADFL...DFLYG.UU.YG..EE. A99 Y99 D98 U99 
7 4 3	.CCBBBHH.FL.AA.FLYG.DFLYG.DUU.....EE A99 G99 D99 E99 
7 4 3	CC.BBBHH.FL.AA.FLY..DFLYG.DUU.G...EE C99 A99 D99 E99 
7 4 3	.CCBBB.HHFL.GAAFLYG.DFLY..DUU...EE.. H99 G98 D99 E99 
7 4 3	.CCBBB.HHFLYGAAFLYG.DFL...DUU....EE. H99 Y99 G98 D99 
7 4 3	.CCBBBHH.FLYGAAFLYG.DFL...D.UU...EE. Y99 G98 D99 U99 
7 4 3	GCCBBBGHHFLY.AAFLY...FL...DUU...DEE. H99 Y97 G96 
7 5 2	CCBBBYHH.FLY.AAFL...DFL.G.DUU.GEE... C99 B99 Y98 D99 E98 
7 5 2	CCBBBYHH.FLYAA.FL.G..FL.G.DUU...DEE. C99 B99 A99 Y98 G99 
7 5 2	.CCBBB.HHFL.AA.FL...DFLYG.DUUYGEE... H99 A99 Y99 D99 E98 
7 5 2	CCBBBYHH.FLY.AAFL...DFL.G.D.UUG..EE. C99 B99 Y98 D99 U99 
7 5 2	CC.BBBHH.FL.AA.FL...DFLYG.DUUYGEE... C99 A99 D99 Y99 E98 
7 4 3	.CCBBBHH.FL.GAAFLYG..FLY..DUU.EED... G98 D98 E97 
7 4 3	.CCBBBHH.FLYGAAFLYG.DFL...DUU.EE.... Y99 G98 D99 E97 
7 5 2	CCBBBY.HHFLYGAAFL.G..FL...DUU...DEE. C99 B99 H99 Y98 G98 
7 4 3	.CCBBB.HHFL.GAAFLYG.DFLY..DUU.EE.... H99 G98 D99 E97 
7 4 3	CC.BBBHH.FL.GAAFLYG.DFLY..DUU.EE.... C99 G98 D99 E97 
7 3 4	CC.BBBHHDFL.AADFLY...FLYG..UU.G..EE. C99 A99 D97 
7 4 3	.CCBBB.HHFL.GAAFLYG.DFLY..DUU..EE... H99 G98 D99 E98 
7 4 3	CCDBBBHHDFL.AA.FLY...FLYG..UU.G...EE C99 A99 D96 E99 
7 5 2	.CCBBBGHHFL.GAAFL...DFL...DUUYEE...Y H99 Y98 G97 D99 E97 
7 4 3	.CCBBBHH.FL.AADFL...DFL.GUU..YG..EEY A99 Y98 D98 U98 
7 4 3	CCDBBBHHDFL.AA.FLY...FLYGUU...G..EE. C99 A99 D96 U98 
7 4 3	CC.BBBHH.FL.GAAFLYG.DFLY..DUU..EE... C99 G98 D99 E98 
7 5 2	GCCBBBGHHFL.AA.FL....FLY..DUUY..D.EE H99 A99 Y99 G96 E99 
7 4 3	GCCBBBGHHFL.AA.FLY...FLY..D.UU..DEE. H99 A99 G96 U99 
7 4 3	.CCBBBGHHFLYGAAFLY..DFL...DUU....EE. H99 Y99 G97 D99 
7 4 3	CC.BBB.HHFLYGAAFLYG..FL...DUU...DEE. C99 H99 Y99 G98 
7 4 3	GCCBBBGHHFL.AA.FLY..DFLY..DUU....EE. H99 A99 G96 D99 
7 4 3	.CCBBB.HHFLYGAAFLYG..FL...D.UU..DEE. H99 Y99 G98 U99 
7 4 3	GCCBBBGHHFLYAA.FLY...FL...DUU...DEE. H99 A99 Y99 G96 
7 4 3	.CCBBBHH.FLY.AAFLYG.DFL.G.DUU....EE. Y97 G99 D99 
7 4 3	CC.BBBHH.FL..AAFLY..DFLYG.D.UUG.EE.. C99 D99 U99 E99 
7 5 2	GCCBBBGHHFL.AA.FL...DFL...DUUY...EEY H99 A99 Y98 G96 D99 
7 5 2	.CCBBBHH.FL.AA.FL.G.DFLYG.DUUY..EE.. A99 Y99 G99 D99 E99 
7 4 3	CC.BBBHH.FLY.AAFLY..DFL.G.D.UUG..EE. C99 Y99 D99 U99 
7 4 3	CC.BBBHH.FL.AA.FLY..DFLYG.D.UUG..EE. C99 A99 D99 U99 
7 5 2	GCCBBBGHHFL..AAFL...DFL...DUUYEE...Y H99 Y98 G96 D99 E97 
7 5 2	.CCBBBHH..L..AA.LYG.DFLYG.DFUUEE.F.. F98 G99 D99 U99 E97 
7 4 3	CCBBB.HH.FL..AAFLY..DFLYG.D.UUG..EE. C99 B99 D99 U99 
7 5 2	.CCBBBHH.FL.AA.FL.G.DFLYG.DUUY.EE... A99 Y99 G99 D99 E98 
7 5 2	CCDBBBHHDFL.AA.FL....FL.G..UUYGEE..Y C99 A99 D96 Y98 E98 
7 4 3	CCDBBBHHDFL.AA.FLY...FLYG..UU.GEE... C99 A99 D96 E98 
7 5 2	.CCBBB.HHFL..AAFL.G.DFLYG.DUUY.EE... H99 Y99 G99 D99 E98 
7 5 2	CC.BBBHH.FL..AAFL.G.DFLYG.DUUY.EE... C99 G99 D99 Y99 E98 
7 5 2	.CCBBBHH.FL..AAFL.G..FLYG.DUUYEED... Y99 G99 D98 E97 
7 4 3	.CCBBB.HHFL..AAFLY..DFLYG.D.UUG.EE.. H99 D99 U99 E99 
7 4 3	GCCBBBGHHFL..AAFLY..DFLY..D.UU...EE. H99 G96 D99 U99 
7 5 2	.CCBBB.HHFL.AA.FL.G.DFLYG.DUUY...EE. H99 A99 Y99 G99 D99 
7 4 3	.CCBBBHH.FL.AADFL...DFL.G.UU.YG..EEY A99 Y98 D98 U99 
7 5 2	.CCBBBGHHFL.GAAFL...DFLY..DUUY..EE.. H99 Y99 G97 D99 E99 
7 4 3	CCDBBBHHDFL.AA.FLY...FLYG...UUG..EE. C99 A99 D96 U99 
7 4 3	.CCBBBGHHFL.GAAFLY..DFLY..D.UU...EE. H99 G97 D99 U99 
7 4 3	.CCBBB.HHFL.GAAFLYG.DFLY..D.UU...EE. H99 G98 D99 U99 
7 5 2	CC.BBB.HHFL..AAFL.G.DFLYG.DUUY...EE. C99 H99 G99 D99 Y99 
7 4 3	.CCBBB.HHFLY.AAFLY..DFL.G.D.UUG..EE. H99 Y99 D99 U99 
7 4 3	.CCBBB.HHFL.AA.FLY..DFLYG.D.UUG..EE. H99 A99 D99 U99 
7 5 2	CC.BBBHH.FL.AA.FL.G.DFLYG.DUUY...EE. C99 A99 G99 D99 Y99 
7 4 3	.CCBBBHH.FL.AA.FLYG.DFLYG.DUU.EE.... A99 G99 D99 E97 
7 4 3	.CCBBBHH..L..AAFLY..DFLYG.DFUUG.EE.. F99 D99 U99 E99 
7 4 3	.CCBBBHH..L.GAAFLYG.DFLY..DFUU...EE. F99 G98 D99 U99 
7 5 2	.CCBBB.HHFL..AAFL.G.DFLYG.DUUY..EE.. H99 Y99 G99 D99 E99 
7 4 3	.CCBBBHH..LY.AAFLY..DFL.G.DFUUG..EE. F99 Y99 D99 U99 
7 4 3	CC.BBBHHDFL.AADFL....FLYG..UUYG..EE. C99 A99 Y99 D97 
7 4 3	.CCBBBHHDFL.AADFL....FLYG..UUYG...EE A99 Y99 D97 E99 
7 4 3	.CCBBBHH..L.AA.FLY..DFLYG.DFUUG..EE. F99 A99 D99 U99 
7 4 3	CCDBBBHHDFL.AA.FLY...FLYG..UU.G.EE.. C99 A99 D96 E99 
7 4 3	.CCBBB..HHL..AAFLY..DFLYG.DFUUG..EE. H98 F99 D99 U99 
7 4 3	CC.BBBHH.FL.AADFL...DFLYG..UUYG..EE. C99 A99 Y99 D98 
7 4 3	.CCBBB.HH.L..AAFLY..DFLYG.DFUUG..EE. H99 F99 D99 U99 
7 4 3	CC.BBBHH..L..AAFLY..DFLYG.DFUUG..EE. C99 F99 D99 U99 
7 4 3	.CCBBB.HHFL.AADFL...DFL.G..UUYG..EEY H99 A99 Y98 D98 
7 4 3	CCDBBBHHDFL.AA.FLYG..FLYG..UU....EE. C99 A99 G99 D96 
7 5 2	.CCBBB.HHFL.AA.FL...DFLYG.DUUYG.EE.. H99 A99 Y99 D99 E99 
7 4 3	CC.BBBHH.FLYAA.FLY...FL.G.DUU.G.DEE. C99 A99 Y97 
7 4 3	CC.BBB.HHFL.AA.FLYG..FLYG.DUU...DEE. C99 H99 A99 G99 
7 4 3	CCBBB.HH.FL.AA.FLYG..FLYG.DUU...DEE. C99 B99 A99 G99 
7 5 2	CCDBBBHHDFL.AA.FL....FLYG..UUYGEE... C99 A99 Y99 D96 E98 
7 5 2	CCDBBBHHDFL.AA.FL....FLYG..UUYG.EE.. C99 A99 Y99 D96 E99 
7 4 3	CCBBB.HH.FL..AAFLY..DFLYG.DUU.G...EE C99 B99 D99 E99 
7 4 3	.CCBBBHH.FLY.AAFLY..DFL.G.D.UUGEE... Y99 D99 U99 E98 
7 5 2	.CCBBBHH.FL.GAAFL.G..FLY..DUUYEED... Y99 G98 D98 E97 
7 4 3	.CCBBBHH.FL..AAFLYG..FLYG.DUU.EED... G99 D98 E97 
7 4 3	.CCBBB.HHFL.AADFL...DFLYG..UUYG..EE. H99 A99 Y99 D98 
7 4 3	CCBBB.HH.FL.GAAFLYG..FLY..DUU...D.EE C99 B99 G98 E99 
7 4 3	CCBBB.HH.FL..AAFLYG..FLYG.DUU...D.EE C99 B99 G99 E99 
7 4 3	CCBBB.HH.FLY.AAFLY...FL.G.DUU.G.D.EE C99 B99 Y99 E99 
7 4 3	CCBBB.HH.FL.AA.FLY...FLYG.DUU.G.D.EE C99 B99 A99 E99 
7 4 3	.CCBBB.HHFLYAA.FLY...FL.G.DUU.G.DEE. H99 A99 Y97 
7 4 3	CCBBB..HHFL..AAFLY...FLYG.DUU.G.D.EE C99 B99 H99 E99 
7 5 2	.CCBBB.HHFL.GAAFL.G.DFLY..DUUY....EE H99 Y99 G98 D99 E99 
7 4 3	.CCBBBHHDFL.AADFL.G..FL.G..UUY...EEY A99 Y98 G99 D97 
7 5 2	CC.BBBHH.FL.GAAFL.G.DFLY..DUUY....EE C99 G98 D99 Y99 E99 
7 4 3	.CCBBBGHHFL.GAAFLY..DFLY..DUU.....EE H99 G97 D99 E99 
7 4 3	.CCBBBGHH.L.GAAFLY...FLY..DFUU..DEE. H99 F99 G97 U99 
7 4 3	.CCBBBHH.FL..AAFLYG.DFLYG.D.UU.EE... G99 D99 U99 E98 
7 4 3	.CCBBBHH.FL..AAFLYG.DFLYG.D.UU..EE.. G99 D99 U99 E99 
7 4 3	GCCBBBGHHFL..AAFLY..DFLY..DUU.....EE H99 G96 D99 E99 
7 4 3	.CCBBBHH.FLY.AAFLYG.DFL.G.D.UU...EE. Y99 G99 D99 U99 
7 4 3	.CCBBBHH.FL.AA.FLYG.DFLYG.D.UU...EE. A99 G99 D99 U99 
7 4 3	.CCBBBGHHFL.GAAFLY..DFLY..DUU.EE.... H99 G97 D99 E97 
7 4 3	.CCBBBHH..L..AAFLYG.DFLYG.DFUU...EE. F99 G99 D99 U99 
7 4 3	.CCBBB.HHFL..AAFLYG.DFLYG.D.UU...EE. H99 G99 D99 U99 
7 4 3	GCCBBBGHH.L..AAFLY...FLY..DFUU..DEE. H99 F99 G96 U99 
7 4 3	CC.BBBHH.FLYAA.FLYG..FL.G.DUU...DEE. C99 A99 Y99 G99 
7 4 3	CC.BBB.HHFLY.AAFLYG..FL.G.DUU...DEE. C99 H99 Y99 G99 
7 4 3	.CCBBBHH.FLYAA.FLY..DFL.G.D.UUG..EE. A99 Y99 D99 U99 
7 4 3	.CCBBBHH.FLYAA.FLYG..FL.G.D.UU..DEE. A99 Y99 G99 U99 
7 4 3	CCBBB.HH.FLY.AAFLYG..FL.G.DUU...DEE. C99 B99 Y99 G99 
7 5 2	CC.BBB.HHFL.AA.FL...DFLYG.DUUYG..EE. C99 H99 A99 D99 Y99 
7 4 3	CC.BBBHH.FL..AAFLYG.DFLYG.DUU.EE.... C99 G99 D99 E97 
7 4 3	.CCBBBHH..LYGAAFLYG..FL...DFUU..DEE. F99 Y99 G98 U99 
7 4 3	CC.BBBHH.FL..AAFLYG.DFLYG.DUU..EE... C99 G99 D99 E98 
7 4 3	CC.BBBHH.FL..AAFLYG.DFLYG.DUU...EE.. C99 G99 D99 E99 
7 4 3	.CCBBBHH..LY.AAFLYG..FL.G.DFUU..DEE. F99 Y99 G99 U99 
7 4 3	GCCBBBGHHFLY.AAFLY...FL...D.UU..DEE. H99 Y99 G96 U99 
7 4 3	CC.BBBHH.FLY.AAFLYG.DFL.G.DUU....EE. C99 Y99 G99 D99 
7 4 3	CC.BBBHH.FL.AA.FLYG.DFLYG.DUU....EE. C99 A99 G99 D99 
7 4 3	.CCBBBHH..LYAA.FLY...FL.G.DFUUG.DEE. F99 A99 Y99 U99 
7 4 3	CCBBB.HH.FL..AAFLYG.DFLYG.DUU....EE. C99 B99 G99 D99 
7 4 3	.CCBBBHH.FLYAA.FLY..DFL.G.DUU.G..EE. A99 Y97 D99 
7 3 4	.CCBBBHHDFL.AADFLY...FLYG..UU.G.EE.. A99 D97 E99 
7 4 3	CC.BBBGHHFL.GAAFLY...FLY..D.UU..DEE. C99 G97 H99 U99 
7 4 3	.CCBBB..HHLY.AAFLY...FL.G.DFUUG.DEE. H98 F99 Y99 U99 
7 3 4	.CCBBBHHDFL.AADFLY...FLYGUU...G..EE. A99 D97 U98 
7 3 4	.CCBBBHHDFL.AADFLY...FLYG.UU..G..EE. A99 D97 U99 
7 4 3	.CCBBBGHHFLYGAAFLY...FL...D.UU..DEE. H99 Y99 G97 U99 
7 4 3	CC.BBBHH.FL..AAFLYG.DFLYG.D.UU...EE. C99 G99 D99 U99 
7 4 3	CC.BBBHH.FLY.AAFLYG..FL.G.D.UU..DEE. C99 Y99 G99 U99 
7 4 3	CC.BBBHH.FLYAA.FLY...FL.G.D.UUG.DEE. C99 Y99 A99 U99 
7 4 3	CC.BBB.HHFLY.AAFLY...FL.G.D.UUG.DEE. C99 H99 Y99 U99 
7 4 3	CC.BBBHH.FL.AA.FLYG..FLYG.D.UU..DEE. C99 A99 G99 U99 
7 4 3	CC.BBBHH..L..AAFLYG..FLYG.DFUU..DEE. C99 F99 G99 U99 
7 4 3	.CCBBB.HHFLYAA.FLY...FL.G.D.UUG.DEE. H99 A99 Y99 U99 
7 4 3	CC.BBB.HHFL..AAFLYG..FLYG.D.UU..DEE. C99 H99 G99 U99 
7 4 3	.CCBBBHH.FL.AADFL.G.DFL.G..UUY...EEY A99 Y98 G99 D98 
7 4 3	CCBBB.HH.FL..AAFLYG..FLYG.D.UU..DEE. C99 B99 G99 U99 
7 4 3	.CCBBB.HH.L.GAAFLYG..FLY..DFUU..DEE. H99 F99 G98 U99 
7 4 3	.CCBBBHHDFL.AADFL....FL.GUU..YG..EEY A99 Y98 D97 U98 
7 4 3	CC.BBB.HHFL..AAFLY..DFLYG.DUU.GEE... C99 H99 D99 E98 
7 4 3	GCCBBBG.HHL..AAFLY...FLY..DFUU..DEE. H98 F99 G96 U99 
7 3 4	.CCBBBHH.FL.AADFLY..DFLYG...UUG..EE. A99 D98 U99 
7 4 3	CC.BBB.HHFL..AAFLY..DFLYG.DUU.G.EE.. C99 H99 D99 E99 
7 4 3	CC.BBB.HHFL..AAFLY..DFLYG.D.UUG..EE. C99 H99 D99 U99 
7 4 3	CC.BBBGHHFL.GAAFLY..DFLY..DUU....EE. C99 H99 D99 G97 
7 4 3	.CCBBB.HH.LY.AAFLY...FL.G.DFUUG.DEE. H99 F99 Y99 U99 
7 4 3	.CCBBBGHHFL.GAAFLY..DFLY..DUU..EE... H99 G97 D99 E98 
7 4 3	CC.BBB.HHFL.GAAFLYG.DFLY..DUU....EE. C99 H99 D99 G98 
7 4 3	CC.BBB.HHFL..AAFLYG.DFLYG.DUU....EE. C99 H99 D99 G99 
7 4 3	.CCBBB.HH.L.AA.FLY...FLYG.DFUUG.DEE. H99 F99 A99 U99 
7 4 3	CC.BBB.HHFLY.AAFLY..DFL.G.DUU.G..EE. C99 H99 Y99 D99 
7 4 3	CC.BBB.HHFL.AA.FLY..DFLYG.DUU.G..EE. C99 H99 A99 D99 
7 4 3	.CCBBBHHDFL.AADFL....FL.G.UU.YG..EEY A99 Y98 D97 U99 
7 5 2	CCBBB..HHFL.AA.FL....FLYG.DUUYG.DEE. C99 B99 H99 A99 Y99 
7 4 3	CCBBB..HHFL..AAFLY..DFLYG.DUU.G..EE. C99 B99 H99 D99 
7 4 3	CC.BBBHH.FL.GAAFLYG.DFLY..D.UU...EE. C99 G98 D99 U99 
7 4 3	CCBBB.HH.FL.GAAFLYG..FLY..D.UU..DEE. C99 B99 G98 U99 
7 4 3	CC.BBBHH.FLYGAAFLYG..FL...D.UU..DEE. C99 G98 Y99 U99 
7 4 3	CC.BBBHH..L.GAAFLYG..FLY..DFUU..DEE. C99 F99 G98 U99 
7 4 3	CC.BBB.HHFL.GAAFLYG..FLY..D.UU..DEE. C99 H99 G98 U99 
7 5 2	.CCBBB.HH.L..AA.LY..DFLYG.DFUUGEEF.. H99 F98 D99 U99 E98 
7 5 2	CCBBB..HHFL.GAAFL.G..FLY..DUUY..DEE. C99 B99 H99 Y99 G98 
7 5 2	CC.BBBHH..L..AA.LY..DFLYG.DFUUGEEF.. C99 D99 F98 U99 E98 
7 5 2	CC.BBB.HHFL.AA.FL.G..FLYG.DUUY..DEE. C99 H99 A99 Y99 G99 
7 4 3	GCCBBBGHHFL..AAFLY..DFLY..DUU.EE.... H99 G96 D99 E97 
7 4 3	.CCBBB..HHL.AA.FLY...FLYG.DFUUG.DEE. H98 F99 A99 U99 
7 4 3	.CCBBBHH.FL..AAFLYG.DFLYG.D.UU....EE G99 D99 U99 E99 
7 4 3	GCCBBBGHHFL..AAFLY..DFLY..DUU..EE... H99 G96 D99 E98 
7 4 3	.CCBBBHH.FLY.AAFLY..DFL.G.D.UUG...EE Y99 D99 U99 E99 
7 4 3	.CCBBBHH..L.AA.FLYG..FLYG.DFUU..DEE. F99 A99 G99 U99 
7 5 2	CCDBBBHHDFL.AA.FL....FLYGUU..YG..EE. C99 A99 Y99 D96 U98 
7 5 2	.CCBBBHH..L..AA.LYG.DFLYG.DFUU.EEF.. F98 G99 D99 U99 E98 
7 4 3	.CCBBBHH.FL.AA.FLY..DFLYG.D.UUG...EE A99 D99 U99 E99 
7 5 2	CCDBBBHHDFL.AA.FL....FLYG.UU.YG..EE. C99 A99 Y99 D96 U99 
7 5 2	CCDBBBHHDFL.AA.FL.G..FLYG..UUY...EE. C99 A99 Y99 G99 D96 
7 4 3	.CCBBBHH..L..AAFLY..DFLYG.DFUUG...EE F99 D99 U99 E99 
7 5 2	CCDBBBHHDFL..AAFL....FLYG..UUYG..EE. C99 A98 Y99 D96 
7 4 3	CCDBBBHHDFL..AAFLY...FLYG..UU.G..EE. C99 A98 D96 
7 4 3	.CCBBB.HHFL..AAFLY..DFLYG.D.UUG...EE H99 D99 U99 E99 
7 5 2	.CCBBBHH.FL.AA.FL.G.DFLYG.DUUYEE.... A99 Y99 G99 D99 E97 
7 5 2	.CCBBB.HHFL..AAFL.G.DFLYG.DUUYEE.... H99 Y99 G99 D99 E97 
7 4 3	CC.BBBHH.FL..AAFLY..DFLYG.D.UUG...EE C99 D99 U99 E99 
7 5 2	CC.BBBHH.FL..AAFL.G.DFLYG.DUUYEE.... C99 G99 D99 Y99 E97 
7 5 2	CCDBBBHHDFL.AA.FL....FL.G..UUYG.EE.Y C99 A99 D96 Y98 E99 
7 5 2	.CCBBBHH..L.GAA.LYG.DFLY..DFUU.EEF.. F98 G98 D99 U99 E98 
7 5 2	.CCBBB.HHFL.GAAFL.G.DFL...DUUY.EE..Y H99 Y98 G98 D99 E98 
7 5 2	CCDBBBHHDFL.AA.FL....FL.GUU..YG..EEY C99 A99 D96 U98 Y98 
7 4 3	CC.BBB.HHFLY.AAFLY...FL.G.DUU.G.DEE. C99 H99 Y97 
7 5 2	CC.BBBHH.FL.GAAFL.G.DFL...DUUY.EE..Y C99 G98 D99 Y98 E98 
7 5 2	CCDBBBHHDFL.AA.FL....FL.G.UU.YG..EEY C99 A99 D96 U99 Y98 
7 5 2	CCDBBBHHDFL..AAFL....FL.G..UUYG..EEY C99 A98 D96 Y98 
7 5 2	CCBBBYGHHFLYGAAFL....FL...DUU...DEE. C99 B99 H99 Y98 G97 
7 5 2	.CCBBB.HHFL.AA.FL...DFLYG.DUUYG...EE H99 A99 Y99 D99 E99 
7 5 2	CCBBBY.HHFLYAA.FL....FL.G.DUU.G.DEE. C99 B99 H99 A99 Y98 
7 5 2	.CCBBBHH..LY.AA.LY..DFL.G.DFUUGEEF.. F98 Y99 D99 U99 E98 
7 5 2	.CCBBBHH..L...AALY..DFLYG.DFUUGEEF.. F98 A99 D99 U99 E98 
7 4 3	.CCBBB..HHL.GAAFLYG..FLY..DFUU..DEE. H98 F99 G98 U99 
7 5 2	CC.BBBHH.FL.AA.FL...DFLYG.DUUYG...EE C99 A99 D99 Y99 E99 
7 5 2	CCBBBY.HHFLY.AAFL.G..FL.G.DUU...DEE. C99 B99 H99 Y98 G99 
7 5 2	CC.BBBGHHFL.GAAFL...DFLY..DUUY...EE. C99 G97 H99 Y99 D99 
7 5 2	CCBBBYHH.FLY.AAFL...DFL.G.DUU.G.EE.. C99 B99 Y98 D99 E99 
7 4 3	.CCBBB..HHL..AAFLYG..FLYG.DFUU..DEE. H98 F99 G99 U99 
7 5 2	CCBBBYHH.FLYGAAFL.G.DFL...DUU....EE. C99 B99 Y98 G98 D99 
7 5 2	CCBBBYHH.FLYAA.FL...DFL.G.DUU.G..EE. C99 B99 A99 Y98 D99 
7 5 2	CCBBBYHH.FLY.AAFL.G.DFL.G.DUU....EE. C99 B99 Y98 G99 D99 
7 5 2	CCBBB.GHHFL.GAAFL....FLY..DUUY..DEE. C99 B99 G97 H99 Y99 
7 5 2	CCBBBY.HHFLY.AAFL...DFL.G.DUU.G..EE. C99 B99 H99 Y98 D99 
7 5 2	.CCBBBHH..L.AA..LY..DFLYG.DFUUGEEF.. F98 A99 D99 U99 E98 
7 5 2	.CCBBB..HHL..AA.LY..DFLYG.DFUUGEEF.. H98 F98 D99 U99 E98 
7 5 2	CCBBBYHH.FLYGAAFL.G..FL...D.UU..DEE. C99 B99 Y98 G98 U99 
7 5 2	CCBBB.HH.FL..AAFL...DFL.G.DUUYG.EE.Y C99 B99 D99 Y98 E99 
7 5 2	CCBBBYHH.FLY.AAFL.G..FL.G.D.UU..DEE. C99 B99 Y98 G99 U99 
7 5 2	CCBBBYHH.FLYAA.FL....FL.G.D.UUG.DEE. C99 B99 A99 Y98 U99 
7 4 3	.CCBBBGHHFLYGAAFLY...FL...DUU...DEE. H99 Y97 G97 
7 4 3	.CCBBB.HHFL.AA.FLY..DFLYG.DUU.G...EE H99 A99 D99 E99 
7 5 2	CCBBBYHH..LY.AAFL....FL.G.DFUUG.DEE. C99 B99 F99 Y98 U99 
7 5 2	CCBBBY.HHFLY.AAFL....FL.G.D.UUG.DEE. C99 B99 H99 Y98 U99 
7 5 2	CCBBB.HH.FL.GAAFL.G.DFL...DUUY...EEY C99 B99 G98 D99 Y98 
8 5 3	.CCBBBHH.FLYAA.FLYG..FL.G.DUU...D.EE A99 Y97 G99 E99 
8 5 3	CC.BBBHH.FL.AADFL.G.DFLYG..UUY...EE. C99 A99 Y99 G99 D98 
8 5 3	CC.BBB.HHFL..AAFLY..DFLYG.D.UUG...EE C99 H99 D99 U99 E99 
8 6 2	CCBBB..HHFL..AAFL...DFL.G.DUUYGEE..Y C99 B99 H99 D99 Y98 E98 
8 5 3	.CCBBBHH.FLYGAAFLYG.DFL...D.UU....EE Y99 G98 D99 U99 E99 
8 5 3	GCCBBBGHHFL..AAFLY..DFLY..D.UU.EE... H99 G96 D99 U99 E98 
8 6 2	CC.BBB.HHFL..AAFL.G.DFL.G.DUUY.EE..Y C99 H99 G99 D99 Y98 E98 
8 5 3	CC.BBB.HHFL..AAFLYG.DFLYG.DUU.EE.... C99 H99 G99 D99 E97 
8 6 2	CCBBBY.HH.LY.AAFL....FL.G.DFUUG.DEE. C99 B99 H99 F99 Y98 U99 
8 4 4	.CCBBB.HHFL.AADFLYG.DFLYG..UU....EE. H99 A99 G99 D98 
8 5 3	.CCBBB.HHFL..AAFLYG.DFLYG.D.UU....EE H99 G99 D99 U99 E99 
8 6 2	CC.BBBGHHFL.GAAFL...DFLY..DUUY....EE C99 G97 H99 Y99 D99 E99 
8 6 2	CCBBB.HH.FL..AAFL.G.DFL.G.DUUYEE...Y C99 B99 G99 D99 Y98 E97 
8 5 3	.CCBBBHH.FLYGAAFLYG.DFL...D.UU.EE... Y99 G98 D99 U99 E98 
8 5 3	CC.BBBHH..L.AA.FLY...FLYG.DFUUG.D.EE C99 A99 F99 U99 E99 
8 5 3	CC.BBB.HH.L..AAFLY...FLYG.DFUUG.D.EE C99 H99 F99 U99 E99 
8 5 3	CCDBBBHHDFL.AA.FLY...FLYG...UUG.EE.. C99 A99 D96 U99 E99 
8 6 2	CCBBB.HH.FL.AA.FL...DFL.G.DUUYGEE..Y C99 B99 A99 D99 Y98 E98 
8 5 3	.CCBBBHH.FL.AADFL...DFL.G.UU.YGEE..Y A99 Y98 D98 U99 E98 
8 6 2	.CCBBB..HHL.AA..LY..DFLYG.DFUUGEEF.. H98 F98 A99 D99 U99 E98 
8 6 2	CCBBBY.HHFLYAA.FL...DFL.G.DUU.G..EE. C99 B99 H99 A99 Y98 D99 
8 5 3	CC.BBB..HHL..AAFLY...FLYG.DFUUG.D.EE C99 H98 F99 U99 E99 
8 6 2	CCDBBBHHDF..AA.FL....FL.G.UULYG..EEY C99 L99 A99 D96 U99 Y98 
