3 0 3	.C....BC.PTUBAAPTUYYYOTU..DOLL..D... 
3 1 2	.C.P..BC.PTUBAA.TUYYYOTU..DOLL..D... P99 
4 2 2	BC.P..BC.PTU.AA.TUYYYOTU..DOLL..D... B99 P99 
4 2 2	.C.PT.BC.PTUBAA.TUYYYO.U..DOLL..D... P99 T99 
4 2 2	.C.P.UBC.PTUBAA.TUYYYOT...DOLL..D... P99 U99 
4 2 2	.C.P..BC.PTUB.AATUYYYOTU..DOLL..D... P99 A99 
4 2 2	.C.P..BC.PTUBAA.TUYYY.TU..DOLL..DO.. P99 O99 
4 1 3	.C....BC.PTUBAAPTUYYY.TU..DOLL..DO.. O99 
4 1 3	BC....BC.PTU.AAPTUYYYOTU..DOLL..D... B99 
4 1 3	.C..T.BC.PTUBAAPTUYYYO.U..DOLL..D... T99 
4 1 3	.C...UBC.PTUBAAPTUYYYOT...DOLL..D... U99 
5 3 2	BC.P..BC.PTU.AA.TUYYY.TU..DOLL..DO.. B99 P99 O99 
5 3 2	.C.PTUBC.PTUBAA.TUYYYO....DOLL..D... P99 T99 U99 
5 3 2	.C.P..BC.PTUB.AATUYYY.TU..DOLL..DO.. P99 A99 O99 
5 3 2	BC.P..BC.PTU..AATUYYYOTU..DOLL..D... B99 P99 A99 
5 3 2	BC.P..BC.PTUAA..TUYYYOTU..DOLL..D... B99 P99 A99 
5 3 2	BC.P.UBC.PTU.AA.TUYYYOT...DOLL..D... B99 P99 U99 
5 3 2	.C.P..BC.PTUBAA.TU.YYYTU..DOLL..DO.. P99 Y99 O99 
5 3 2	BC.PT.BC.PTU.AA.TUYYYO.U..DOLL..D... B99 P99 T99 
5 3 2	...P..BC.PTUBCAATUYYYOTU..DOLL..D... C99 P99 A99 
5 3 2	.C.P.UBC.PTUB.AATUYYYOT...DOLL..D... P99 U99 A99 
5 3 2	.C.P.UBC.PTUBAA.TUYYY.T...DOLL..DO.. P99 U99 O99 
5 3 2	.C.PT.BC.PTUBAA.TUYYY..U..DOLL..DO.. P99 T99 O99 
5 3 2	.C.PT.BC.PTUB.AATUYYYO.U..DOLL..D... P99 T99 A99 
5 2 3	.C..TUBC.PTUBAAPTUYYYO....DOLL..D... T99 U99 
5 2 3	.C.P..BC.PTUBAAOTUYYYOTU..D.LL..D... P99 O99 
5 2 3	BC...UBC.PTU.AAPTUYYYOT...DOLL..D... B99 U99 
5 2 3	BC..T.BC.PTU.AAPTUYYYO.U..DOLL..D... B99 T99 
5 2 3	.C...UBC.PTUBAAPTUYYY.T...DOLL..DO.. U99 O99 
5 2 3	.C..T.BC.PTUBAAPTUYYY..U..DOLL..DO.. T99 O99 
5 2 3	BC....BC.PTUAA.PTUYYYOTU..DOLL..D... B99 A99 
5 2 3	BC....BC.PTU.AAPTUYYY.TU..DOLL..DO.. B99 O99 
5 2 3	.C....BC.PTUBAAPTU.YYYTU..DOLL..DO.. Y99 O99 
6 4 2	BC.P..BC.PTU..AATUYYY.TU..DOLL..DO.. B99 P99 A99 O99 
6 4 2	BC.PTUBC.PTU.AA.TUYYYO....DOLL..D... B99 P99 T99 U99 
6 4 2	.C.PT.BC.PTUBAA.TU..YYYU..DOLL..DO.. P99 T99 Y98 O99 
6 4 2	BC.P..BC.PTUAA..TUYYY.TU..DOLL..DO.. B99 P99 A99 O99 
6 4 2	.C.P..BC.PTUB.AATU.YYYTU..DOLL..DO.. P99 A99 Y99 O99 
6 4 2	BC.P.UBC.PTU.AA.TUYYY.T...DOLL..DO.. B99 P99 U99 O99 
6 4 2	BC.PT.BC.PTU.AA.TUYYY..U..DOLL..DO.. B99 P99 T99 O99 
6 4 2	BC.P..BC.PTU.AA.TU.YYYTU..DOLL..DO.. B99 P99 Y99 O99 
6 4 2	...P.UBC.PTUBCAATUYYYOT...DOLL..D... C99 P99 U99 A99 
6 4 2	.C.PT.BC.PTUBAA.TU.YYY.U..DOLL..DO.. P99 T99 Y99 O99 
6 4 2	BC.P.UBC.PTU..AATUYYYOT...DOLL..D... B99 P99 U99 A99 
6 4 2	.C.P...C.PTU.AA.TUBYYYTUB.DOLL..DO.. B98 P99 Y99 O99 
6 4 2	.C.P...C.PTU.AA.TU.YYYTUB.DOLLB.DO.. B97 P99 Y99 O99 
6 4 2	BC.P.UBC.PTUAA..TUYYYOT...DOLL..D... B99 P99 U99 A99 
6 4 2	.C.P...C.PTUBAA.TUBYYYTU..DOLL..DO.. B99 P99 Y99 O99 
6 4 2	BC.PT.BC.PTUAA..TUYYYO.U..DOLL..D... B99 P99 T99 A99 
6 4 2	.C.P.UBC.PTUBAA.TU.YYYT...DOLL..DO.. P99 U99 Y99 O99 
6 4 2	...PT.BC.PTUBCAATUYYYO.U..DOLL..D... C99 P99 T99 A99 
6 4 2	BC.PT.BC.PTU..AATUYYYO.U..DOLL..D... B99 P99 T99 A99 
6 4 2	.C.P.UBC.PTUB.AATUYYY.T...DOLL..DO.. P99 U99 A99 O99 
6 4 2	B..P..BC.PTU.CAATUYYYOTU..DOLL..D... C99 B99 P99 A99 
6 4 2	...P..BC.PTUBCAATUYYY.TU..DOLL..DO.. C99 P99 A99 O99 
6 4 2	.C.PT.BC.PTUB.AATUYYY..U..DOLL..DO.. P99 T99 A99 O99 
6 4 2	.C.PTUBC.PTUBAA.TUYYY.....DOLL..DO.. P99 T99 U99 O99 
6 4 2	.C.PTUBC.PTUB.AATUYYYO....DOLL..D... P99 T99 U99 A99 
6 3 3	BC...UBC.PTU.AAPTUYYY.T...DOLL..DO.. B99 U99 O99 
6 3 3	BC....BC.PTU.AAPTU.YYYTU..DOLL..DO.. B99 Y99 O99 
6 3 3	BC.P..BC.PTU.AAOTUYYYOTU..D.LL..D... B99 P99 O99 
6 3 3	.C.....C.PTU.AAPTU.YYYTUB.DOLLB.DO.. B97 Y99 O99 
6 3 3	.C.P..BC.PTUBAAOTUYYYOTU..DLL...D... P99 O99 L99 
6 4 2	.C.P..BC.PT.BAAOT.YYYOTU..DLLU..D..U P99 U98 O99 L99 
6 3 3	.C.....C.PTU.AAPTUBYYYTUB.DOLL..DO.. B98 Y99 O99 
6 3 3	BC..T.BC.PTU.AAPTUYYY..U..DOLL..DO.. B99 T99 O99 
6 3 3	.C.....C.PTUBAAPTUBYYYTU..DOLL..DO.. B99 Y99 O99 
6 3 3	.C..T.BC.PTUBAAPTU.YYY.U..DOLL..DO.. T99 Y99 O99 
6 3 3	.C..TUBC.PTUBAAPTUYYY.....DOLL..DO.. T99 U99 O99 
6 3 3	BC..T.BC.PTUAA.PTUYYYO.U..DOLL..D... B99 T99 A99 
6 3 3	BC....BC.PTUAA.PTUYYY.TU..DOLL..DO.. B99 A99 O99 
6 3 3	BC..TUBC.PTU.AAPTUYYYO....DOLL..D... B99 T99 U99 
6 3 3	.C...UBC.PTUBAAPTU.YYYT...DOLL..DO.. U99 Y99 O99 
6 3 3	BC...UBC.PTUAA.PTUYYYOT...DOLL..D... B99 U99 A99 
6 3 3	.C....BC..TUBAAPTUYYYPTU..DOLL..DO.. P97 O99 
6 3 3	.C..T.BC.PTUBAAPTU..YYYU..DOLL..DO.. T99 Y98 O99 
6 3 3	.C.PT.BC.PTUBAAOTUYYYO.U..D.LL..D... P99 T99 O99 
6 3 3	.C.P.UBC.PTUBAAOTUYYYOT...D.LL..D... P99 U99 O99 
7 5 2	.C.PT.BC.PTUB.AATU..YYYU..DOLL..DO.. P99 T99 A99 Y98 O99 
7 5 2	BC.PT.BC.PTUAA..TUYYY..U..DOLL..DO.. B99 P99 T99 A99 O99 
7 5 2	.C.PTUBC.PTUBAA.TU...YYY..DOLL..DO.. P99 T99 U99 Y97 O99 
7 5 2	.C.PTUBC.PTUBAA.TU..YYY...DOLL..DO.. P99 T99 U99 Y98 O99 
7 5 2	BC.P.UBC.PTU.AA.TU.YYYT...DOLL..DO.. B99 P99 U99 Y99 O99 
7 5 2	BC.PT.BC.PTU.AA.TU..YYYU..DOLL..DO.. B99 P99 T99 Y98 O99 
7 5 2	.C.PT..C.PTU.AA.TUB.YYYUB.DOLL..DO.. B98 P99 T99 Y98 O99 
7 5 2	.C.PT..C.PTU.AA.TU..YYYUB.DOLLB.DO.. B97 P99 T99 Y98 O99 
7 5 2	BC.PTUBC.PTU.AA.TUYYY.....DOLL..DO.. B99 P99 T99 U99 O99 
7 5 2	.C.PT..C.PTUBAA.TUB.YYYU..DOLL..DO.. B99 P99 T99 Y98 O99 
7 5 2	BC.P..BC.PTU..AATU.YYYTU..DOLL..DO.. B99 P99 A99 Y99 O99 
7 5 2	BC.PTUBC.PTU..AATUYYYO....DOLL..D... B99 P99 T99 U99 A99 
7 5 2	BC.PTUBC.PTUAA..TUYYYO....DOLL..D... B99 P99 T99 U99 A99 
7 5 2	BC.PT.BC.PTU..AATUYYY..U..DOLL..DO.. B99 P99 T99 A99 O99 
7 5 2	BC.P.UBC.PTU..AATUYYY.T...DOLL..DO.. B99 P99 U99 A99 O99 
7 5 2	B..P..BC.PTU.CAATUYYY.TU..DOLL..DO.. C99 B99 P99 A99 O99 
7 5 2	BC.P..BC.PTUAA..TU.YYYTU..DOLL..DO.. B99 P99 A99 Y99 O99 
7 5 2	.C.P...C.PTUAA..TUBYYYTUB.DOLL..DO.. B98 P99 A99 Y99 O99 
7 5 2	BC.PT.BC.PTU.AA.TU.YYY.U..DOLL..DO.. B99 P99 T99 Y99 O99 
7 5 2	.C.PT..C.PTU.AA.TU.YYY.UB.DOLLB.DO.. B97 P99 T99 Y99 O99 
7 5 2	.C.PT.BC.PT.BAAOT.YYYO.U..DLLU..D..U P99 T99 U98 O99 L99 
7 5 2	...P.UBC.PTUBCAATUYYY.T...DOLL..DO.. C99 P99 U99 A99 O99 
7 5 2	BC.P..BC.PT..AAOT.YYYOTU..DLLU..D..U B99 P99 U98 O99 L99 
7 5 2	.C.PTUBC.PTUBAA.TU.YYY....DOLL..DO.. P99 T99 U99 Y99 O99 
7 5 2	.C.P.U.C.PTUBAA.TUBYYYT...DOLL..DO.. B99 P99 U99 Y99 O99 
7 5 2	.C.P...C.PTU.AA.TUYYY.TUB.DOLLB.DO.. B97 P99 Y98 O99 
7 5 2	.C.P...C.PTUAA..TU.YYYTUB.DOLLB.DO.. B97 P99 A99 Y99 O99 
7 5 2	.C.P.U.C.PTU.AA.TUBYYYT.B.DOLL..DO.. B98 P99 U99 Y99 O99 
7 5 2	.C.PT..C.PTU.AA.TUBYYY.UB.DOLL..DO.. B98 P99 T99 Y99 O99 
7 5 2	.C.PT..C.PTUBAA.TUBYYY.U..DOLL..DO.. B99 P99 T99 Y99 O99 
7 5 2	...PTUBC.PTUBCAATUYYYO....DOLL..D... C99 P99 T99 U99 A99 
7 5 2	.C.P.UBC.PTUB.AATU.YYYT...DOLL..DO.. P99 U99 A99 Y99 O99 
7 5 2	B..P.UBC.PTU.CAATUYYYOT...DOLL..D... C99 P99 B99 U99 A99 
7 5 2	.C.P.U.C.PTU.AA.TU.YYYT.B.DOLLB.DO.. B97 P99 U99 Y99 O99 
7 5 2	.C.PT.BC.PTUB.AATU.YYY.U..DOLL..DO.. P99 T99 A99 Y99 O99 
7 5 2	...PT.BC.PTUBCAATUYYY..U..DOLL..DO.. C99 P99 T99 A99 O99 
7 5 2	.C.P...C.PTU..AATU.YYYTUB.DOLLB.DO.. B97 P99 A99 Y99 O99 
7 5 2	.C.P...C.PTUB.AATUBYYYTU..DOLL..DO.. B99 P99 A99 Y99 O99 
7 5 2	.C.P...C.PTU..AATUBYYYTUB.DOLL..DO.. B98 P99 A99 Y99 O99 
7 5 2	.C.PTUBC.PTUB.AATUYYY.....DOLL..DO.. P99 T99 U99 A99 O99 
7 5 2	...P..BC.PTUBCAATU.YYYTU..DOLL..DO.. C99 P99 A99 Y99 O99 
7 5 2	B..PT.BC.PTU.CAATUYYYO.U..DOLL..D... C99 P99 B99 T99 A99 
7 5 2	BC.P.UBC.PTUAA..TUYYY.T...DOLL..DO.. B99 P99 U99 A99 O99 
7 4 3	BC...UBC.PTU.AAPTU.YYYT...DOLL..DO.. B99 U99 Y99 O99 
7 4 3	BC..T.BC.PTU.AAPTU..YYYU..DOLL..DO.. B99 T99 Y98 O99 
7 4 3	.C..T..C.PTU.AAPTU..YYYUB.DOLLB.DO.. B97 T99 Y98 O99 
7 4 3	.C..T..C.PTUBAAPTUB.YYYU..DOLL..DO.. B99 T99 Y98 O99 
7 4 3	.C.PTUBC.PTUBAAOTUYYYO....D.LL..D... P99 T99 U99 O99 
7 4 3	BC.P.UBC.PTU.AAOTUYYYOT...D.LL..D... B99 P99 U99 O99 
7 4 3	.C.....C.PTUAA.PTUBYYYTUB.DOLL..DO.. B98 A99 Y99 O99 
7 4 3	BC....BC..TU.AAPTUYYYPTU..DOLL..DO.. B99 P97 O99 
7 4 3	BC....BC.PTUAA.PTU.YYYTU..DOLL..DO.. B99 A99 Y99 O99 
7 4 3	BC.P..BC.PTU.AAOTUYYYOTU..DLL...D... B99 P99 O99 L99 
7 4 3	.C.P.UBC.PTUBAAOTUYYYOT...DLL...D... P99 U99 O99 L99 
7 4 3	.C.....C.PTU.AAPTUYYY.TUB.DOLLB.DO.. B97 Y98 O99 
7 4 3	.C..T.BC..TUBAAPTUYYYP.U..DOLL..DO.. P97 T99 O99 
7 4 3	.C..TUBC.PTUBAAPTU...YYY..DOLL..DO.. T99 U99 Y97 O99 
7 4 3	.C..TUBC.PTUBAAPTU..YYY...DOLL..DO.. T99 U99 Y98 O99 
7 4 3	.C...U.C.PTUBAAPTUBYYYT...DOLL..DO.. B99 U99 Y99 O99 
7 4 3	.C..TUBC.PTUBAAPTU.YYY....DOLL..DO.. T99 U99 Y99 O99 
7 4 3	.C...UBC..TUBAAPTUYYYPT...DOLL..DO.. P97 U99 O99 
7 4 3	.C..T..C.PTUBAAPTUBYYY.U..DOLL..DO.. B99 T99 Y99 O99 
7 4 3	.C..T..C.PTU.AAPTUB.YYYUB.DOLL..DO.. B98 T99 Y98 O99 
7 4 3	BC..TUBC.PTUAA.PTUYYYO....DOLL..D... B99 T99 U99 A99 
7 4 3	BC.P..BC.PTUAA.OTUYYYOTU..D.LL..D... B99 P99 A99 O99 
7 4 3	.C.P..BC.PT.BAAOTUYYYOTU..DLLU..D... P99 U99 O99 L99 
7 4 3	.C.PT.BC.PTUBAAOTUYYYO.U..DLL...D... P99 T99 O99 L99 
7 4 3	.C.....C.PTUAA.PTU.YYYTUB.DOLLB.DO.. B97 A99 Y99 O99 
7 4 3	BC..T.BC.PTUAA.PTUYYY..U..DOLL..DO.. B99 T99 A99 O99 
7 4 3	.C...U.C.PTU.AAPTU.YYYT.B.DOLLB.DO.. B97 U99 Y99 O99 
7 4 3	.C..T..C.PTU.AAPTU.YYY.UB.DOLLB.DO.. B97 T99 Y99 O99 
7 4 3	.C..T..C.PTU.AAPTUBYYY.UB.DOLL..DO.. B98 T99 Y99 O99 
7 4 3	BC..T.BC.PTU.AAPTU.YYY.U..DOLL..DO.. B99 T99 Y99 O99 
7 4 3	BC...UBC.PTUAA.PTUYYY.T...DOLL..DO.. B99 U99 A99 O99 
7 4 3	BC..TUBC.PTU.AAPTUYYY.....DOLL..DO.. B99 T99 U99 O99 
7 4 3	.C...U.C.PTU.AAPTUBYYYT.B.DOLL..DO.. B98 U99 Y99 O99 
7 4 3	BC.PT.BC.PTU.AAOTUYYYO.U..D.LL..D... B99 P99 T99 O99 
8 6 2	BC.PT.BC.PTUAA..TU..YYYU..DOLL..DO.. B99 P99 T99 A99 Y98 O99 
8 6 2	.C.PT..C.PTUAA..TUB.YYYUB.DOLL..DO.. B98 P99 T99 A99 Y98 O99 
8 6 2	B..P.UBC.PTU.CAATUYYY.T...DOLL..DO.. C99 B99 P99 U99 A99 O99 
8 6 2	.C.PTU.C.PTUBAA.TUBYYY....DOLL..DO.. B99 P99 T99 U99 Y99 O99 
8 6 2	.C.P...C.PTU..AATUYYY.TUB.DOLLB.DO.. B97 P99 A99 Y98 O99 
8 6 2	.C.P.U.C.PTUAA..TU.YYYT.B.DOLLB.DO.. B97 P99 U99 A99 Y99 O99 
8 6 2	.C.P...C.PTU.AA.TUYYYOTUB.DOLLB.D... B97 P99 Y98 O98 
8 6 2	BC.PTUBC.PTU.AA.TU..YYY...DOLL..DO.. B99 P99 T99 U99 Y98 O99 
8 6 2	BC.P.UBC.PTUAA..TU.YYYT...DOLL..DO.. B99 P99 U99 A99 Y99 O99 
8 6 2	BC.P.UBC.PTU..AATU.YYYT...DOLL..DO.. B99 P99 U99 A99 Y99 O99 
8 6 2	.C.PT..C.PTU.AA.TUYYY..UB.DOLLB.DO.. B97 P99 T99 Y96 O99 
8 6 2	B..PT.BC.PTU.CAATUYYY..U..DOLL..DO.. C99 B99 P99 T99 A99 O99 
8 6 2	BC.PT.BC.PTU..AATU.YYY.U..DOLL..DO.. B99 P99 T99 A99 Y99 O99 
8 6 2	BC.P..BC.PT.AA.OT.YYYOTU..DLLU..D..U B99 P99 U98 A99 O99 L99 
8 6 2	BC.PTUBC.PTU..AATUYYY.....DOLL..DO.. B99 P99 T99 U99 A99 O99 
8 6 2	BC.PT.BC.PT..AAOT.YYYO.U..DLLU..D..U B99 P99 T99 U98 O99 L99 
8 6 2	.C.PT..C.PTUAA..TU..YYYUB.DOLLB.DO.. B97 P99 T99 A99 Y98 O99 
8 6 2	.C.PT..C.PTUAA..TU.YYY.UB.DOLLB.DO.. B97 P99 T99 A99 Y99 O99 
8 6 2	.C.PTU.C.PTU.AA.TU.YYY..B.DOLLB.DO.. B97 P99 T99 U99 Y99 O99 
8 6 2	BC.PTUBC.PTU.AA.TU.YYY....DOLL..DO.. B99 P99 T99 U99 Y99 O99 
8 6 2	B..PTUBC.PTU.CAATUYYYO....DOLL..D... C99 B99 P99 T99 U99 A99 
8 6 2	.C.PTU.C.PTU.AA.TU..YYY.B.DOLLB.DO.. B97 P99 T99 U99 Y98 O99 
8 6 2	.C.PTUBC.PTUBAA.TU..DYYY..DOLL...O.. P99 T99 U99 Y97 O99 D99 
8 6 2	.C.PTU.C.PTU.AA.TUB.YYY.B.DOLL..DO.. B98 P99 T99 U99 Y98 O99 
8 6 2	.C.PTU.C.PTUBAA.TUB.YYY...DOLL..DO.. B99 P99 T99 U99 Y98 O99 
8 6 2	.C.PTUBC.PTUB.AATU...YYY..DOLL..DO.. P99 T99 U99 A99 Y97 O99 
8 6 2	BC.PTUBC.PTU.AA.TU...YYY..DOLL..DO.. B99 P99 T99 U99 Y97 O99 
8 6 2	.C.PTU.C.PTU.AA.TU...YYYB.DOLLB.DO.. B97 P99 T99 U99 Y97 O99 
8 6 2	.C.PTU.C.PTU.AA.TUB..YYYB.DOLL..DO.. B98 P99 T99 U99 Y97 O99 
8 6 2	.C.PTU.C.PTUBAA.TUB..YYY..DOLL..DO.. B99 P99 T99 U99 Y97 O99 
8 6 2	BC.PT.BC.PTUAA..TU.YYY.U..DOLL..DO.. B99 P99 T99 A99 Y99 O99 
8 6 2	.C.PTU.C.PTU.AA.TUBYYY..B.DOLL..DO.. B98 P99 T99 U99 Y99 O99 
8 6 2	.C.PTUBC.PTUB.AATU..YYY...DOLL..DO.. P99 T99 U99 A99 Y98 O99 
8 6 2	BC.PTUBC.PTUAA..TUYYY.....DOLL..DO.. B99 P99 T99 U99 A99 O99 
8 6 2	...PTUBC.PTUBCAATUYYY.....DOLL..DO.. C99 P99 T99 U99 A99 O99 
8 6 2	BC.PT.BC.PTU..AATU..YYYU..DOLL..DO.. B99 P99 T99 A99 Y98 O99 
8 6 2	.C.PT..C.PTU..AATU..YYYUB.DOLLB.DO.. B97 P99 T99 A99 Y98 O99 
8 6 2	.C.PT..C.PTU..AATUB.YYYUB.DOLL..DO.. B98 P99 T99 A99 Y98 O99 
8 6 2	.C.PT..C.PTUB.AATUB.YYYU..DOLL..DO.. B99 P99 T99 A99 Y98 O99 
8 6 2	...PT.B..PTUB.AATU..YYYU.CDOLL.CDO.. C96 P99 T99 A99 Y98 O99 
8 6 2	B..P..BC.PTU.CAATU.YYYTU..DOLL..DO.. C99 B99 P99 A99 Y99 O99 
8 6 2	...PT.B..PTUB.AATU.CYYYU.CDOLL..DO.. C97 P99 T99 A99 Y98 O99 
8 6 2	...PT.B..PTUBCAATU.CYYYU..DOLL..DO.. C98 P99 T99 A99 Y98 O99 
8 6 2	.C.PT..C.PTU..AATU.YYY.UB.DOLLB.DO.. B97 P99 T99 A99 Y99 O99 
8 6 2	...PT.BC.PTUBCAATU..YYYU..DOLL..DO.. C99 P99 T99 A99 Y98 O99 
8 6 2	.C.P.U.C.PTUAA..TUBYYYT.B.DOLL..DO.. B98 P99 U99 A99 Y99 O99 
8 6 2	.C.PT..C.PTUAA..TUBYYY.UB.DOLL..DO.. B98 P99 T99 A99 Y99 O99 
8 6 2	...P.UBC.PTUBCAATU.YYYT...DOLL..DO.. C99 P99 U99 A99 Y99 O99 
8 6 2	.C.PTUBC.PTUB.AATU.YYY....DOLL..DO.. P99 T99 U99 A99 Y99 O99 
8 6 2	.C.P.U.C.PTUB.AATUBYYYT...DOLL..DO.. B99 P99 U99 A99 Y99 O99 
8 6 2	.C.P.U.C.PTU..AATUBYYYT.B.DOLL..DO.. B98 P99 U99 A99 Y99 O99 
8 6 2	.C.P.U.C.PTU..AATU.YYYT.B.DOLLB.DO.. B97 P99 U99 A99 Y99 O99 
8 6 2	...P...C.PTU.CAATUBYYYTUB.DOLL..DO.. C99 P99 A99 B98 Y99 O99 
8 6 2	.C.PT..C.PTU..AATUBYYY.UB.DOLL..DO.. B98 P99 T99 A99 Y99 O99 
8 6 2	.C.PT..C.PTUB.AATUBYYY.U..DOLL..DO.. B99 P99 T99 A99 Y99 O99 
8 6 2	.C.P...C.PTUAA..TUYYY.TUB.DOLLB.DO.. B97 P99 A99 Y98 O99 
8 6 2	...P...C.PTUBCAATUBYYYTU..DOLL..DO.. C99 P99 B99 A99 Y99 O99 
8 6 2	...PT.BC.PTUBCAATU.YYY.U..DOLL..DO.. C99 P99 T99 A99 Y99 O99 
8 6 2	...P...C.PTU.CAATU.YYYTUB.DOLLB.DO.. C99 P99 A99 Y99 B97 O99 
8 6 2	.C.P.U.C.PTU.AA.TUYYY.T.B.DOLLB.DO.. B97 P99 U99 Y98 O99 
8 5 3	BC....BC..TUAA.PTUYYYPTU..DOLL..DO.. B99 P97 A99 O99 
8 5 3	BC..T.BC.PTUAA.PTU..YYYU..DOLL..DO.. B99 T99 A99 Y98 O99 
8 5 3	.C..T..C.PTU.AAPTUYYY..UB.DOLLB.DO.. B97 T99 Y96 O99 
8 5 3	BC.P.UBC.PTUAA.OTUYYYOT...D.LL..D... B99 P99 U99 A99 O99 
8 5 3	BC.P..BC.PTUAA.OTUYYYOTU..DLL...D... B99 P99 A99 O99 L99 
8 5 3	BC...UBC.PTUAA.PTU.YYYT...DOLL..DO.. B99 U99 A99 Y99 O99 
