4 0 4	.B....SB.CDESAACDEHHHGDE..VG....VWW. 
3 1 2	.B.C..SB.CDESAA.DEHHHGDE..VG....VWW. C99 
3 2 1	.B.C..SB.CD.SAA.D.HHHGDE..VG.E..VWWE C99 E98 
4 1 3	.B....SB.CD.SAACD.HHHGDE..VG.E..VWWE E98 
4 2 2	.B.C..SB.CDES.AADEHHHGDE..VG....VWW. C99 A99 
4 2 2	SB.C..SB.CDE.AA.DEHHHGDE..VG....VWW. S99 C99 
4 2 2	.B.C..SB.CD.SAA.DEHHHGDE..VG.E..VWW. C99 E99 
4 2 2	.B.C..SB.CDESAA.DEHHHGDE..VG....V.WW C99 W99 
4 3 1	.B.C..SB.CD.S.AAD.HHHGDE..VG.E..VWWE C99 E98 A99 
4 3 1	SB.C..SB.CD..AA.D.HHHGDE..VG.E..VWWE S99 C99 E98 
5 1 4	.B....SB.CDESAACDEHHHGDE..VG....V.WW W99 
5 3 2	.B.C..SB.CDES.AADEHHHGDE..VG....V.WW C99 A99 W99 
5 3 2	SB.C..SB.CD..AA.DEHHHGDE..VG.E..VWW. S99 C99 E99 
5 2 3	.B.C.ESB.CDESAA.DEHHHGD...VG....VWW. C99 E99 
5 3 2	.B.C..SB.CD.S.AADEHHHGDE..VG.E..VWW. C99 E99 A99 
5 2 3	.B....SB.CDESAACDEHHH.DE..VG....VGWW G99 W99 
5 1 4	.B....SB.CD.SAACDEHHHGDE..VG.E..VWW. E99 
5 3 2	...C..SB.CDESBAADEHHHGDE..VG....VWW. B99 C99 A99 
5 3 2	SB.C..SB.CDE..AADEHHHGDE..VG....VWW. S99 C99 A99 
5 4 1	SB.C..SB.CD.AA..D.HHHGDE..VG.E..VWWE S99 C99 E98 A99 
5 2 3	.B.CD.SB.CDESAA.DEHHHG.E..VG....VWW. C99 D99 
5 4 1	SB.C..SB.CD...AAD.HHHGDE..VG.E..VWWE S99 C99 E98 A99 
5 2 3	SB....SB.CD..AACD.HHHGDE..VG.E..VWWE S99 E98 
5 4 1	...C..SB.CD.SBAAD.HHHGDE..VG.E..VWWE B99 C99 A99 E98 
