6 0 6	..DII...DCLLAABC.OJ.B.POJFFFPOJ..... 
5 1 4	..DII...DCLLAABC..J.B.POJFFFPOJ....O O99 
5 2 3	..D.II..DCLLAABC..J.B.POJFFFPOJ....O I99 O99 
5 3 2	..DCII..DCLLAAB...J.B.POJFFFPOJ....O I99 C99 O99 
6 2 4	..DII...DCLLAABC..J.B..OJFFFPOJ...PO O99 P99 
6 2 4	..DII...D.LLAABC..J.BCPOJFFFPOJ....O C99 O99 
6 3 3	..D.II..DCLLAABC..J.B..OJFFFPOJ...PO I99 O99 P99 
6 4 2	..DCII..DCLLAAB...J.B..OJFFFPOJ...PO I99 C99 O99 P99 
6 1 5	..D.II..DCLLAABC.OJ.B.POJFFFPOJ..... I99 
7 3 4	..DII...DLL.AABC..J.BCPOJFFFPOJ....O C99 L99 O99 
7 2 5	..D.II..DCLLAABC.OJ.B..OJFFFPOJ...P. I99 P99 
7 1 6	..DII...DCLLAABC.OJ.B..OJFFFPOJ...P. P99 
7 3 4	..D.II..D.LLAABC..J.BCPOJFFFPOJ....O I99 C99 O99 
7 3 4	..DCII..DCLLAAB..OJ.B..OJFFFPOJ...P. I99 C99 P99 
8 3 5	..D.II..DCLLAABCP.J.B.POJFFF.OJ....O I99 O99 P99 
8 2 6	..D.II..D.LLAABC.OJ.BCPOJFFFPOJ..... I99 C99 
7 3 4	..DCII..DCLLAAB..OJ.B.POJFFFPOJ..... I99 C97 
8 2 6	..DII...DCLLAABCP.J.B.POJFFF.OJ....O O99 P99 
8 4 4	..DCII..DCLLAAB..OJ.B.POJFFFPOJ..... I99 C99 O98 
8 4 4	..DCII..DCLLAAB.P.J.B.POJFFF.OJ....O I99 C99 O99 P99 
8 3 5	..D.II..DLL.AABC.OJ.BCPOJFFFPOJ..... I99 C99 L99 
8 2 6	..DII...D.LLAABC.OJ.BC.OJFFFPOJ...P. C99 P99 
7 3 4	..DII...D.LLAABC..J.BC.OJFFFPOJ...PO C99 O99 P99 
8 4 4	..DII...DLL.AABC..J.BC.OJFFFPOJ...PO C99 L99 O99 P99 
8 4 4	..D.II..D.LLAABC..J.BC.OJFFFPOJ...PO I99 C99 O99 P99 
8 4 4	..D.II..DLL.AABC..J.BCPOJFFFPOJ....O I99 C99 L99 O99 
8 3 5	..DII...DLL.AABC.OJ.BC.OJFFFPOJ...P. C99 L99 P99 
9 5 4	..DCII..DCLLAAB..OJ.B..OJFFFPOJ...P. I99 C99 O98 P99 
9 2 7	..D.II..DCLLAABCPOJ.B.POJFFF.OJ..... I99 P99 
9 5 4	..D.II..DLL.AABC..J.BC.OJFFFPOJ...PO I99 C99 L99 O99 P99 
9 4 5	..DII...DLLOAABC.OJ.BC.OJFFFP.J...P. C99 L99 O99 P99 
9 3 6	..DII...DCLLAABCP.J.B.POJ.FFFOJ....O O99 P99 F99 
9 4 5	..D.II..DLL.AABC.OJ.BC.OJFFFPOJ...P. I99 C99 L99 P99 
9 3 6	..DII...D.LLAABC.OJ.BCPOJFFFPOJ..... I98 C99 
9 4 5	..DII...DLLOAABC.OJ.BCPOJFFFP.J..... C99 L99 O97 
9 3 6	..DII...D.LLAABCP.J.BCPOJFFF.OJ....O C99 O99 P99 
9 4 5	..DII...DLL.AABC.OJ.BCPOJFFFPOJ..... C99 L99 O98 
9 3 6	..D.II..D.LLAABC.OJ.BC.OJFFFPOJ...P. I99 C99 P99 
9 5 4	..DCII..DCLLAAB.P.J.B.POJ.FFFOJ....O I99 C99 O99 P99 F99 
